Set  Type   Title
----------------------------------------------------------
Pro  A1     Aestheticism
GI   R/A1   Personal Transportation
CC   A1     Steak Sauce ("Hope I don't get dragon…)
CC   R/A2   Speaking Part ("My head's stuck")
CC   A3     Admiral's Rear ("To the moon Alice,…)
GI   A3     Eclipse Position
Pro  R/A3   Emergency Medical Technician
Per  R/A3   Indirigan Tattoo
GI   A3     Primitive Society
CC   A4     Chakan's Hat (The Hat makes the man.)
GI   A4     Hostile Environ Automaton
GI   A4     Officer Training
Per  A4     Perfect Specimen
Per  R/A4   Secret Agent Alien
GI   R/A4   Sneak Attack
GI   A4     Solar Flare
GI   A4     Tranquility
GI   A4     War Effort
Pro  A5     Communications Training
GI   A5     Eclipse Position
GI   A5     Solar Corona (Mix 2 parts tequila with lemon…)
GI   A5     Solar Corona (Mix 2 parts tequila, 1 part vodka…)
Per  A5/5   Time Knight's Scepter
Pro  A5     Wizard's Ring
Per  A6     Breeder
Pro  A6     Dragon Marksman
Pro  A6     Security Background
GI   A6     Senior Officer Training
GI   R/A7   Personal Transportation
GI   A7     Solar Disk
GI   A7     Spiritual Familiar
Per  A8     Quicksand
Per  A8     Royal Indirigan Tattoo
Pro  A10    Urban Influence
CC   B1     Eat at Joe's ("There's a cybermite…)
AL   B1     Planetary Shield
AL   B2     Defensive Satellites (Planet Left)
AL   B2     Defensive Satellites (Planet Right)
Pro  B2     Espionage Platform
GI   B3     Biodome
Pro  B3     Secret Research Base
AL   B3     Space Station
AL   B4     Base Station
PE   B4     Base Station (Small Text)
AT   B4     Border Station
GI   B4     Flight School
Pro  B4     Union Hall
Pro  B5     Dog House
Pro  B5     Growing Economy
GI   B5     Isolated Base
GI   B5     Penal Corrective Station
Pro  B5     The House of Cards
GI   B6     Castle Rognar
GI   B6     Cloning Station
Pro  B6     Psy Temple
Pro  B6     Science Academy
Pro  B7     Artist's Refuge
Pro  B7     Collector's Library
GI   B7     Defender Base
GI   B7     P.O.T. Centaurian Base
GI   B8     Corporate Economic Base
GI   B8     Heavy Defender Base - Defender Base
Pro  B9     Custom Base - Planetary Shield
CC   R/C1   Barmaid ("Hallooo Nurse!" - Wacko)
GI   C1     Cadet
GI   C1     Leopan Raiding Pilot
CC   C1     Pizza Delivery Alien - P.D.A. ("Hey, I ordered extra…)
Pro  C1     Portrait Artiste
CC   C1     Used Spaceship Dealer - A.K.A. Bob ("It had only one owner,…)
AL   R/C2   Doctor
GI   C2     Leopan Raiding Pilot
Pro  C3     Aerospace Procurement Officer
Per  C3     Indirigan Female
AL   R/C3   Science Officer
BE   R/C3   Science Officer
GI   C4     Base Engineer
AL   C4     Fighter Pilot
GI   C4     Intergalactic Terrorist
CC   C4     Night Club Comedian ("So, I went to the optometrist…)
Per  C4     Pioneer
GI   C4     Secret Service Alien
Pro  C4     War Veteran
Pro  C5     Archeologist
Per  C5     Cybernetic Engineer
Pro  R/C5   Exogeologist
Pro  C5     HQ Repair Team - Headquarter Repair Team
Pro  C5     Indirigan Female
Pro  R/C5   Marine-NCO
GI   C5     Mystic
Per  C5     Renegade Science Officer
